trial_id,task_id,condition,exec_passed,n_passed,n_failed,t4_silent,t4_uid,t4_files,t4_total,t4_max,raw_chars,seen_chars,n_views,n_stashed,n_recalls
T1-BASELINE-0,T1,BASELINE,True,4,0,,,,,,0,0,0,0,0
T1-BASELINE-1,T1,BASELINE,True,4,0,,,,,,0,0,0,0,0
T1-PAGED-0,T1,PAGED,True,4,0,,,,,,0,0,0,0,0
T1-PAGED-1,T1,PAGED,True,4,0,,,,,,0,0,0,0,0
T1-NULL-PAGER-0,T1,NULL-PAGER,True,4,0,,,,,,0,0,0,0,0
T1-NULL-PAGER-1,T1,NULL-PAGER,True,4,0,,,,,,0,0,0,0,0
T2-BASELINE-0,T2,BASELINE,True,4,0,,,,,,0,0,0,0,0
T2-BASELINE-1,T2,BASELINE,True,4,0,,,,,,0,0,0,0,0
T2-PAGED-0,T2,PAGED,True,4,0,,,,,,0,0,0,0,0
T2-PAGED-1,T2,PAGED,True,4,0,,,,,,0,0,0,0,0
T2-NULL-PAGER-0,T2,NULL-PAGER,True,4,0,,,,,,0,0,0,0,0
T2-NULL-PAGER-1,T2,NULL-PAGER,True,4,0,,,,,,0,0,0,0,0
T3-BASELINE-0,T3,BASELINE,True,3,0,,,,,,0,0,0,0,0
T3-BASELINE-1,T3,BASELINE,True,3,0,,,,,,0,0,0,0,0
T3-PAGED-0,T3,PAGED,True,3,0,,,,,,0,0,0,0,0
T3-PAGED-1,T3,PAGED,True,3,0,,,,,,0,0,0,0,0
T3-NULL-PAGER-0,T3,NULL-PAGER,True,3,0,,,,,,0,0,0,0,0
T3-NULL-PAGER-1,T3,NULL-PAGER,True,3,0,,,,,,0,0,0,0,0
T4-BASELINE-0,T4,BASELINE,,,,1,0,1,0.6,2.0,0,0,0,0,0
T4-BASELINE-1,T4,BASELINE,,,,2,2,2,2.0,2.0,0,0,0,0,0
T4-PAGED-0,T4,PAGED,,,,0,0,1,0.2,1.0,0,0,0,0,0
T4-PAGED-1,T4,PAGED,,,,1,2,2,1.6,2.0,0,0,0,0,0
T4-NULL-PAGER-0,T4,NULL-PAGER,,,,2,2,2,2.0,2.0,0,0,0,0,0
T4-NULL-PAGER-1,T4,NULL-PAGER,,,,2,2,2,2.0,2.0,0,0,0,0,0
